Designator,Mid X,Mid Y,Rotation,Layer
C1,227.8,-94.9,270.0,top
C10,230.2,-51.1,90.0,top
C11,230.2,-55.4625,90.0,top
C12,228.4,-60.4,270.0,top
C13,229.9,-71.5,0.0,top
C14,211.3,-104.4,180.0,top
C15,200.3,-104.4,0.0,top
C16,185.8,-106.9,180.0,top
C17,191.05,-106.9,0.0,top
C18,217.55,-89.15,0.0,top
C19,204.3,-83.9,270.0,top
C2,232.05,-90.15,180.0,top
C20,202.05,-92.15,0.0,top
C21,196.55,-87.9,0.0,top
C22,196.55,-82.15,180.0,top
C23,191.05,-86.4,0.0,top
C24,191.05,-97.65,180.0,top
C25,178.05,-92.9,0.0,top
C26,178.05,-96.65,0.0,top
C27,185.05,-87.65,0.0,top
C28,179.05,-87.65,180.0,top
C29,164.3,-87.9,0.0,top
C3,236.8,-82.9,180.0,top
C30,164.3,-91.4,0.0,top
C4,237.55,-94.9,270.0,top
C5,222.8,-90.15,0.0,top
C6,227.3,-76.4,0.0,top
C7,221.55,-94.9,270.0,top
C8,201.0,-55.9,180.0,top
C9,196.9,-71.1,180.0,top
D1,217.8,-97.15,270.0,top
D2,181.05,-107.15,180.0,top
D3,190.55,-102.65,0.0,top
D4,182.8,-102.65,0.0,top
D5,165.1,-74.33,90.0,top
D6,165.1,-67.505,90.0,top
J1,225.8,-106.15,0.0,top
J2,224.4,-54.55,180.0,top
J3,213.7,-54.55,180.0,top
J4,169.73,-60.53,0.0,top
J5,237.4,-72.85,90.0,top
L1,164.3,-98.44,270.0,top
L2,209.84,-90.4,0.0,top
L3,205.25,-78.2,180.0,top
R1,227.8,-99.9,90.0,top
R10,234.55,-99.9,270.0,top
R11,231.3,-99.9,270.0,top
R12,222.8,-79.65,180.0,top
R13,234.55,-94.9,90.0,top
R14,231.3,-94.9,270.0,top
R15,227.55,-90.15,180.0,top
R16,222.8,-86.65,0.0,top
R17,222.8,-83.15,0.0,top
R18,224.5,-58.8,0.0,top
R19,219.7,-59.1,180.0,top
R2,224.55,-99.9,270.0,top
R20,206.8,-56.0,0.0,top
R21,211.2,-59.1,0.0,top
R22,215.4,-59.1,0.0,top
R23,224.5,-64.9,0.0,top
R24,207.9,-68.3,180.0,top
R25,207.9,-62.4,0.0,top
R26,224.4,-71.5,0.0,top
R27,224.5,-61.8,0.0,top
R28,207.9,-71.1,0.0,top
R29,213.9,-71.2,180.0,top
R3,221.55,-99.9,270.0,top
R30,202.1,-71.1,180.0,top
R31,207.9,-65.3,0.0,top
R32,224.4,-68.6,180.0,top
R33,218.6,-71.2,180.0,top
R34,171.0,-71.3,180.0,top
R35,207.05,-96.4,180.0,top
R36,195.8,-97.65,0.0,top
R37,191.05,-93.9,180.0,top
R38,191.05,-90.4,0.0,top
R39,176.4,-76.9,0.0,top
R4,224.55,-94.9,90.0,top
R40,171.0,-74.5,0.0,top
R41,164.3,-84.4,0.0,top
R42,164.3,-80.6,0.0,top
R43,185.05,-83.4,180.0,top
R44,170.9,-68.1,180.0,top
R5,232.3,-76.4,180.0,top
R6,236.8,-86.15,180.0,top
R7,236.8,-79.9,180.0,top
R8,236.8,-90.15,0.0,top
R9,237.55,-99.9,90.0,top
RV1,215.4,-76.45,0.0,top
SW1,182.2,-77.0,270.0,top
SW2,190.7,-77.0,270.0,top
TH1,216.05,-82.15,270.0,top
U1,229.775,-82.86,90.0,top
U10,178.8,-82.65,0.0,top
U2,216.4,-65.625,180.0,top
U3,235.0,-62.8,90.0,top
U4,172.79,-103.39,180.0,top
U5,196.45,-92.2,180.0,top
U6,184.8,-94.4,270.0,top
U7,171.55,-92.9,270.0,top
U8,183.85,-63.75,0.0,top
U9,200.325,-63.325,90.0,top
